Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,1506,302,1,(x29),2118242,883369738,2019/9/6,dfw rap,Hip Hop
Juice WRLD ,Lucid Dreams,1673,178,1,(x20),2127668,864832399,2018/12/10,chicago rap,Hip Hop
Lil Uzi Vert ,XO TOUR Llif3,1853,212,1,(x4),1660502,781153024,2017/8/25,hip hop,Hip Hop
J. Cole ,No Role Modelz,2547,6,7,0,659366,734857487,2014/12/9,conscious hip hop,Hip Hop
Post Malone ,rockstar,1223,186,1,(x124),2905678,718865961,2005/9/26,dfw rap,Hip Hop
Travis Scott ,goosebumps,1995,4,8,0,977275,672972704,2016/9/16,hip hop,Hip Hop
The Weeknd ,Blinding Lights,1100,233,1,(x11),2355059,644287953,2020/3/20,canadian contemporary r&b,R&B
XXXTENTACION ,Jocelyn Flores,1673,44,2,(x1),3175206,624457164,2017/8/25,emo rap,Hip Hop
XXXTENTACION ,SAD!,1217,133,1,(x6),4437612,619879245,2018/3/16,emo rap,Hip Hop
Juice WRLD ,All Girls Are The Same,1681,2,5,0,1239152,613872384,2018/12/10,chicago rap,Hip Hop
Kendrick Lamar ,HUMBLE.,1175,152,1,(x67),4060034,606305588,2017/4/14,conscious hip hop,Hip Hop
Post Malone ,Circles,1172,163,1,(x38),3441328,598521764,2019/9/6,dfw rap,Hip Hop
Travis Scott ,SICKO MODE,1046,190,1,(x19),4129691,586638599,2018/8/3,hip hop,Hip Hop
Lil Baby ,Drip Too Hard (Lil Baby & Gunna),1453,122,1,(x6),1759294,583443174,2018/10/5,atl hip hop,Hip Hop
Post Malone ,Congratulations,1215,136,5,0,1263208,546036924,2016/12/9,dfw rap,Hip Hop
Post Malone ,I Fall Apart,1278,132,2,(x14),1275320,543144261,2016/12/9,dfw rap,Hip Hop
Glass Animals ,Heat Waves,763,248,1,(x34),1230046,540754791,2020/8/7,gauze pop,Pop
Drake ,God's Plan,634,139,1,(x70),4739798,534994242,2018/6/29,canadian hip hop,Hip Hop
Roddy Ricch ,The Box,650,197,1,(x85),3781452,504210201,2019/12/6,melodic rap,Hip Hop
J. Cole ,MIDDLE CHILD,1119,106,1,(x16),3800251,481985952,2019/1/23,conscious hip hop,Hip Hop
XXXTENTACION ,Fuck Love,1406,9,5,0,2438715,473417295,2017/8/25,emo rap,Hip Hop
Post Malone ,Better Now,862,72,1,(x8),3467168,463551468,2018/4/27,dfw rap,Hip Hop
Drake ,One Dance,772,187,1,(x103),2767175,454267392,2016/5/6,canadian hip hop,Hip Hop
Olivia Rodrigo ,good 4 u,547,187,1,(x53),4974833,454100610,2021/5/21,pop,Pop
Juice WRLD ,Robbery,1086,38,2,(x2),1724447,443773199,2019/3/8,chicago rap,Hip Hop
Billie Eilish ,lovely,1250,0,18,0,733267,437911914,2018/4/19,art pop,Pop
Joji ,SLOW DANCING IN THE DARK,1496,0,26,0,661274,437333177,2018/10/26,viral pop,Pop
XXXTENTACION ,Moonlight,923,57,2,(x2),3167290,431568186,2018/3/16,emo rap,Hip Hop
Offset ,Ric Flair Drip (& Metro Boomin),1065,86,4,0,1040394,427614856,2017/10/30,atl hip hop,Hip Hop
The Kid LAROI ,Stay,531,271,1,(x45),2345292,426712325,2021/7/9,australian hip hop,Hip Hop
Lewis Capaldi ,Someone You Loved,952,40,5,0,1118953,410725370,2019/5/17,pop,Pop
Harry Styles ,Watermelon Sugar,988,65,3,(x3),1609066,409073262,2019/12/13,pop,Pop
Post Malone ,Wow.,699,115,1,(x6),2317682,405812776,2019/9/6,dfw rap,Hip Hop
Khalid ,Location,999,29,9,0,958542,403645089,2017/4/27,pop,Pop
The Neighbourhood ,Sweater Weather,1050,0,12,0,671844,400804036,2013/4/19,modern alternative rock,Rock
Lil Baby ,Yes Indeed,970,43,2,(x9),1838350,400193604,2018/5/18,atl hip hop,Hip Hop
The Chainsmokers ,Closer,696,158,1,(x70),2504045,397735618,2016/7/29,pop,Pop
Post Malone ,Psycho,607,107,1,(x1),3261937,396525691,1974/6/1,dfw rap,Hip Hop
The Weeknd ,The Hills,1243,194,1,(x6),1147436,392023505,2015/8/28,canadian contemporary r&b,R&B
Dua Lipa ,Levitating,738,113,3,(x3),1284080,387860108,2020/3/27,dance pop,Pop
Billie Eilish ,bad guy,652,108,1,(x20),2931099,385813103,2019/3/29,art pop,Pop
Morgan Wallen ,Whiskey Glasses,1324,0,33,0,447546,385368118,2018/4/27,contemporary country,Country
Olivia Rodrigo ,drivers license,613,99,1,(x46),6145601,381085710,2021/5/21,pop,Pop
Doja Cat ,Kiss Me More,550,151,1,(x11),1846647,376965422,2021/4/9,dance pop,Pop
DaBaby ,ROCKSTAR,549,164,1,(x65),1975668,373388283,2020/4/17,hip hop,Hip Hop
Lil Nas X ,INDUSTRY BABY,472,267,1,(x42),2492612,373383279,2021/7/23,lgbtq+ hip hop,Hip Hop
The Weeknd ,Starboy,785,141,1,(x29),2070596,368997138,2016/11/25,canadian contemporary r&b,R&B
Childish Gambino ,Redbone,1075,42,8,0,950460,363834232,2016/12/2,atl hip hop,Hip Hop
Lil Mosey ,Blueberry Faygo,603,152,2,(x12),1428849,355016723,2020/2/7,melodic rap,Hip Hop
Meek Mill ,Going Bad,638,117,2,(x10),1719834,349994217,2018/11/30,hip hop,Hip Hop
Khalid ,Young Dumb & Broke,904,69,5,0,1045479,349563888,2017/4/27,pop,Pop
Harry Styles ,As It Was,273,203,1,(x40),5953134,348668080,2022/5/20,pop,Pop
Ed Sheeran ,Shape of You,618,96,1,(x48),2156546,348283656,2017/3/3,pop,Pop
Ariana Grande ,7 rings,559,72,1,(x34),3961641,332694161,2019/2/8,pop,Pop
Billie Eilish ,when the party's over,787,9,5,0,1592762,331192577,2019/3/29,art pop,Pop
Kendrick Lamar ,LOVE. FEAT. ZACARI.,814,25,5,0,2063209,329243971,2017/4/14,conscious hip hop,Hip Hop
Cardi B ,I Like It,548,98,2,(x1),1636133,329059657,2018/4/6,pop,Pop
Lizzo ,Truth Hurts,535,161,2,(x3),1400026,321459791,2019/4/19,escape room,Pop
Halsey ,Without Me,617,113,5,0,1345243,320826979,2002/5/26,electropop,Pop
Logic ,18002738255,590,111,1,(x10),1559318,320245347,2017/5/5,conscious hip hop,Hip Hop
Bebe Rexha ,Meant to Be,801,0,15,0,787868,318478528,2017/8/11,dance pop,Pop
Ariana Grande ,"thank u, next",463,93,1,(x42),4190968,317987550,2019/2/8,pop,Pop
BlocBoy JB ,Look Alive,495,98,2,(x4),1802950,316629241,2018/2/9,memphis hip hop,Hip Hop
Marshmello ,Happier,650,28,5,0,1201728,316018345,2018/8/17,brostep,Electronic
James Arthur ,Say You Won't Let Go,1083,0,14,0,664830,315132103,2016/10/28,pop,Pop
Arizona Zervas ,ROXANNE,536,123,1,(x23),1676128,314843202,2019/10/10,indie pop rap,Hip Hop
24kGoldn ,Mood,547,165,1,(x2),1633022,314504480,2021/3/26,cali rap,Hip Hop
Drake ,Nice For What,467,93,1,(x32),3183067,313324663,2018/6/29,canadian hip hop,Hip Hop
blackbear ,hot girl bummer,742,45,5,0,1032214,312411378,2020/8/21,pop,Pop
Mariah Carey ,All I Want for Christmas Is You,426,162,1,(x15),3987998,312323662,1994/10/28,dance pop,Pop
benny blanco ,Eastside,672,15,7,0,1071306,308890413,2018/7/12,pop,Pop
Juice WRLD ,Bandit,670,97,2,(x4),1749825,307048160,2024/2/1,chicago rap,Hip Hop
Future ,Life Is Good,601,57,2,(x33),2873235,305783118,2020/1/10,atl hip hop,Hip Hop
YNW Melly ,Murder On My Mind,771,43,4,0,1483131,305306060,2018/8/3,melodic rap,Hip Hop
Olivia Rodrigo ,deja vu,562,106,2,(x20),2794828,304638969,2021/5/21,pop,Pop
Polo G ,RAPSTAR,519,84,1,(x22),2691084,299470033,2021/6/11,chicago rap,Hip Hop
Luke Combs ,Beautiful Crazy,1123,0,54,0,435905,298483119,2018/6/1,contemporary country,Country
21 Savage ,Bank Account,553,139,1,(x20),1320772,298320136,2017/7/6,atl hip hop,Hip Hop
Drake ,Wants and Needs,645,25,2,(x10),3489465,297154583,2021/3/5,canadian hip hop,Hip Hop
Cardi B ,WAP,417,112,1,(x64),3030510,296670667,2020/8/7,pop,Pop
Travis Scott ,HIGHEST IN THE ROOM,602,69,1,(x21),3939490,295198938,2019/10/4,hip hop,Hip Hop
Lil Tecca ,Ransom,465,110,1,(x26),1833927,292578295,2019/8/30,melodic rap,Hip Hop
Sheck Wes ,Mo Bamba,421,115,1,(x7),1709407,289673118,2018/10/5,pop rap,Hip Hop
Post Malone ,White Iverson,1069,45,7,0,613541,288882157,2016/12/9,dfw rap,Hip Hop
Drake ,In My Feelings,348,83,1,(x37),4805299,288633458,2018/6/29,canadian hip hop,Hip Hop
Lil Nas X ,MONTERO (Call Me By Your Name),410,123,1,(x11),2378862,288187067,2021/3/31,lgbtq+ hip hop,Hip Hop
French Montana ,Unforgettable,501,136,1,(x7),1275953,287042302,2017/7/14,hip hop,Hip Hop
Drake ,Nonstop,478,69,1,(x7),5749019,286786239,2018/6/29,canadian hip hop,Hip Hop
Post Malone ,Candy Paint,717,42,4,0,1836069,286217712,2018/4/27,dfw rap,Hip Hop
DRAM ,Broccoli,646,141,3,(x16),1079595,285106532,2016/4/6,pop rap,Hip Hop
Dua Lipa ,Don't Start Now,646,47,4,0,1220899,284754771,2020/3/27,dance pop,Pop
Juice WRLD ,Come & Go,644,73,1,(x4),3220828,280531842,2020/7/10,chicago rap,Hip Hop
Juice WRLD ,Wishing Well,625,65,1,(x6),2817191,277821416,2020/7/10,chicago rap,Hip Hop
DaBaby ,BOP,622,76,1,(x1),1601147,277705797,2024/2/23,hip hop,Hip Hop
Lil Uzi Vert ,20 Min,1012,0,45,0,401156,277454899,2017/11/17,hip hop,Hip Hop
Travis Scott ,BUTTERFLY EFFECT,682,18,9,0,1568959,276763296,2018/8/3,hip hop,Hip Hop
Brenda Lee ,Rockin' Around The Christmas Tree,340,113,1,(x30),5771662,276529912,2024/4/12,adult standards,Easy listening
Drake ,Knife Talk,471,91,2,(x3),3908883,275693546,2021/9/3,canadian hip hop,Hip Hop
Pop Smoke ,For The Night,512,116,2,(x2),1450903,274720487,2020/7/3,brooklyn drill,Hip Hop
Drake ,Fake Love,525,121,1,(x15),1527349,274318587,2017/3/18,canadian hip hop,Hip Hop
Internet Money ,Lemonade,517,138,1,(x11),1437460,273391855,2020/8/14,pop rap,Hip Hop
Tyga ,Taste,486,54,3,(x1),1484893,272293130,2018/5/16,hip hop,Hip Hop
Future ,Mask Off,441,107,2,(x29),1768762,271944410,2017/6/30,atl hip hop,Hip Hop
Olivia Rodrigo ,traitor,522,56,3,(x15),2709147,271379624,2021/5/21,pop,Pop
DaBaby ,Suge,516,51,3,(x4),1224726,270915921,2019/3/1,hip hop,Hip Hop
SZA ,Good Days,604,83,1,(x3),1387122,270125295,2020/12/25,pop,Pop
Doja Cat ,Need To Know,460,72,3,(x3),1245936,268475081,2021/6/25,dance pop,Pop
Drake ,Money In The Grave (Drake ft. Rick Ross),467,79,1,(x6),2024475,265919957,2019/6/15,canadian hip hop,Hip Hop
Mustard ,Ballin',656,4,10,0,986414,265117682,2019/6/28,indie garage rock,Rock
Bryson Tiller ,Don't,1008,37,7,0,649135,264444220,2017/11/10,kentucky hip hop,Hip Hop
Harry Styles ,Adore You,633,18,1,(x1),1809594,264055553,2019/12/13,pop,Pop
Imagine Dragons ,Believer,745,5,9,0,898836,263375966,2017/6/23,modern rock,Rock
Lauv ,I Like Me Better,930,0,30,0,571396,263177728,2018/5/31,pop,Pop
Migos ,Bad and Boujee,491,98,1,(x32),1816754,262086852,2017/1/27,atl hip hop,Hip Hop
KYLE ,iSpy,512,106,2,(x8),1336415,262041081,2016/12/2,deep underground hip hop,Hip Hop
Luis Fonsi ,Despacito  Remix,344,125,1,(x47),2129981,260702344,2017/4/17,latin pop,Pop
Kodak Black ,ZEZE,402,103,1,(x16),2823276,260612786,2018/12/14,florida drill,Hip Hop
Lil Uzi Vert ,The Way Life Goes,834,21,4,0,1232419,260565170,2017/8/25,hip hop,Hip Hop
Khalid ,Better,519,14,7,0,1413872,259760668,2023/10/20,pop,Pop
Sam Hunt ,Body Like A Back Road,703,0,12,0,790758,259538408,2017/2/1,contemporary country,Country
A Boogie Wit da Hoodie ,Swervin,564,37,6,0,1154453,258648283,2018/12/21,melodic rap,Hip Hop
Imagine Dragons ,Thunder,724,0,16,0,723572,257758821,2017/6/23,modern rock,Rock
Tones And I ,Dance Monkey,539,23,6,0,1022885,256274759,2019/10/17,australian pop,Pop
The Chainsmokers ,Don't Let Me Down,568,141,4,0,981448,251672744,2016/2/5,pop,Pop
Polo G ,Pop Out,647,25,8,0,1046233,251658876,2019/6/7,chicago rap,Hip Hop
Chris Brown ,No Guidance,550,53,3,(x1),1259463,250362082,2019/6/28,r&b,R&B
Drake ,Passionfruit,622,51,1,(x13),2811262,249576463,2017/3/18,canadian hip hop,Hip Hop
Steve Lacy ,Dark Red,513,0,11,0,649193,249198471,2017/2/20,afrofuturism,R&B
Juice WRLD ,Armed And Dangerous,756,10,9,0,1170042,248991383,2018/12/10,chicago rap,Hip Hop
Camila Cabello ,Havana,484,99,2,(x6),1184798,247086289,2018/1/12,dance pop,Pop
Morgan Wallen ,Wasted On You,687,10,1,(x1),1232815,246675467,2021/1/8,contemporary country,Country
Drake ,Laugh Now Cry Later,449,89,2,(x20),2600470,246389835,2020/8/14,canadian hip hop,Hip Hop
Bruno Mars ,That's What I Like,517,78,3,(x3),1236698,245642565,2016/11/17,dance pop,Pop
Kendrick Lamar ,DNA.,451,69,2,(x15),3633524,242841173,2017/4/14,conscious hip hop,Hip Hop
The Weeknd ,Save Your Tears,692,49,2,(x4),1465508,242055670,2020/3/20,canadian contemporary r&b,R&B
Polo G ,Martin & Gina,702,0,21,0,553876,241128929,2020/5/15,chicago rap,Hip Hop
The Weeknd ,Die For You,682,1,10,0,820834,240869086,2016/11/25,canadian contemporary r&b,R&B
Eminem ,Godzilla,665,28,2,(x5),2573682,240271807,2020/1/17,detroit hip hop,Hip Hop
Big Sean ,Bounce Back,531,79,3,(x7),1388544,239157563,2017/2/3,detroit hip hop,Hip Hop
Steve Lacy ,Bad Habit,183,136,1,(x66),1691327,239087671,2022/6/29,afrofuturism,R&B
Jack Harlow ,WHATS POPPIN,519,89,2,(x12),1248272,238356467,2020/3/12,deep underground hip hop,Hip Hop
XXXTENTACION ,Everybody Dies In Their Nightmares,772,3,6,0,2023396,238214306,2017/8/25,emo rap,Hip Hop
Desiigner ,Panda,518,109,1,(x6),1652864,237739871,2016/2/26,pop rap,Hip Hop
Shawn Mendes ,Señorita,400,77,1,(x26),1948638,236868842,2019/6/21,canadian pop,Pop
Fleetwood Mac ,Dreams  2004 Remaster,781,17,6,0,1032229,236167945,1977/2/4,album rock,Rock
Cardi B ,Bodak Yellow,489,79,2,(x6),1383846,235788390,2018/4/6,pop,Pop
Bobby Helms ,Jingle Bell Rock,335,98,1,(x1),4516839,235335220,1957/12/2,,undefined
Drake ,Jumpman,584,134,2,(x2),929883,235129660,2015/9/20,canadian hip hop,Hip Hop
Trevor Daniel ,Falling,455,76,4,0,1101319,234818302,2018/10/5,melodic rap,Hip Hop
Bad Bunny ,DÁKITI,596,42,1,(x6),1499819,234636216,2020/10/30,reggaeton,Latin
Rihanna ,Needed Me,494,154,2,(x3),1018495,233794067,2016/1/28,barbadian pop,Pop
5 Seconds of Summer ,Youngblood,608,0,12,0,944436,233302902,2018/6/15,boy band,Pop
The Killers ,Mr. Brightside,877,0,35,0,407790,232977345,2004,alternative rock,Rock
Baby Keem ,family ties,487,29,3,(x1),1422177,232461442,2021/9/10,hip hop,Hip Hop
Doja Cat ,Woman,489,26,7,0,864796,232370353,2021/6/25,dance pop,Pop
Arctic Monkeys ,505,692,0,13,0,510329,231800625,2007/4/24,garage rock,Rock
Lil Nas X ,Old Town Road  Remix,317,95,1,(x30),3113535,229868299,2019/6/21,lgbtq+ hip hop,Hip Hop
DJ Khaled ,I'm the One,332,112,2,(x29),2427536,227464533,2017/6/22,hip hop,Hip Hop
Drake ,Hotline Bling,555,150,1,(x28),1506243,226915487,2016/5/6,canadian hip hop,Hip Hop
A Boogie Wit da Hoodie ,Drowning,591,0,18,0,674840,225834058,2017/9/29,melodic rap,Hip Hop
XXXTENTACION ,changes,560,7,4,0,2449891,225063813,1998/1/1,emo rap,Hip Hop
Machine Gun Kelly ,my ex's best friend,596,3,9,0,891324,223702831,2020/9/25,ohio hip hop,Hip Hop
Bazzi ,Mine,510,51,3,(x4),1336329,223577524,2018/4/12,pop,Pop
Zedd ,The Middle,561,45,5,0,1159767,223370198,2001/7/17,complextro,Electronic
Justin Bieber ,Sorry,466,131,1,(x53),1783498,222779216,2015/11/13,canadian pop,Pop
Conan Gray ,Heather,647,13,8,0,888848,222474626,2020/3/20,bedroom pop,Pop
Post Malone ,Goodbyes (Feat. Young Thug),329,91,1,(x7),2323437,220243023,2019/9/6,dfw rap,Hip Hop
XXXTENTACION ,Look At Me!,668,0,20,0,1035184,218130170,2017/2/20,emo rap,Hip Hop
Bad Bunny ,Me Porto Bonito,237,154,2,(x27),1947674,217545422,2022/5/6,reggaeton,Latin
J. Cole ,Wet Dreamz,1130,0,12,0,397175,217277232,2014/12/9,conscious hip hop,Hip Hop
Andy Williams ,It's the Most Wonderful Time of the Year,342,72,3,(x2),3837208,214480695,1963/11/24,adult standards,Easy listening
Jack Harlow ,WHATS POPPIN,444,77,6,0,1030175,212620780,2020/3/12,deep underground hip hop,Hip Hop
Lewis Capaldi ,Before You Go,672,0,39,0,558202,211623667,2019/11/22,pop,Pop
Juice WRLD ,Lean Wit Me,671,1,8,0,992697,209772076,2018/12/10,chicago rap,Hip Hop
Tame Impala ,The Less I Know The Better,893,0,103,0,323134,209554986,2015/7/17,australian psych,Metal
G-Eazy,"Eazy  Me, Myself & I",513,148,2,(x12),997340,208480098,2015/12/4,indie pop rap,Hip Hop
Bad Bunny ,Tití Me Preguntó,237,151,3,(x11),1885979,207857104,2022/5/6,reggaeton,Latin
Twenty One Pilots ,Ride,708,65,4,0,824424,207848346,2015/5/15,modern rock,Rock
Kendrick Lamar ,All The Stars,404,78,2,(x10),1794893,207519025,2018/2/9,conscious hip hop,Hip Hop
Twenty One Pilots ,Stressed Out,706,90,3,(x2),835612,207439306,2015/5/15,modern rock,Rock
Billie Eilish ,Happier Than Ever,459,30,3,(x12),1688659,207031225,2021/7/30,art pop,Pop
Aminé ,Caroline,537,77,6,0,861158,206635412,2017/7/28,pop rap,Hip Hop
6ix9ine ,FEFE,271,66,2,(x20),2188635,206222122,2018,emo rap,Hip Hop
Drake ,Too Good,359,150,2,(x19),1092508,205088227,2016/5/6,canadian hip hop,Hip Hop
"Tyler, The Creator ",EARFQUAKE,526,34,1,(x7),2210014,204484344,2019/5/17,hip hop,Hip Hop
Khalid ,Love Lies,445,14,8,0,1088271,204075140,2018/2/14,pop,Pop
Justin Bieber ,Peaches,312,58,1,(x10),2181089,203494777,2023/4/7,canadian pop,Pop
Kendrick Lamar ,Money Trees,726,0,38,0,481011,203375167,2012,conscious hip hop,Hip Hop
Young Thug ,The London,401,49,1,(x3),2397579,203093189,2019/5/23,atl hip hop,Hip Hop
Future ,Low Life,604,0,11,0,670545,202769617,2016/4/13,atl hip hop,Hip Hop
Panic! At The Disco ,High Hopes,535,0,12,0,862030,201888489,2018/6/22,modern rock,Rock
SAINt JHN ,Roses  Imanbek Remix,431,47,5,0,1009144,201135462,2020/11/20,melodic rap,Hip Hop
Powfu ,death bed,478,7,9,0,797933,200371352,2020/2/8,sad lo-fi,Electronic
Rae Sremmurd ,Black Beatles,384,82,1,(x21),2318636,200178133,2016/8/12,melodic rap,Hip Hop
Rihanna ,Work,408,91,1,(x62),1843176,199973584,2016/1/28,barbadian pop,Pop
Billie Eilish ,everything i wanted,435,42,1,(x4),2128318,199922212,2019/11/13,art pop,Pop
Jonas Brothers ,Sucker,414,30,1,(x11),3105964,199695180,2019/6/7,boy band,Pop
Rich The Kid ,Plug Walk,417,29,6,0,1341514,198858962,2018/3/30,atl hip hop,Hip Hop
Justin Bieber ,Love Yourself,458,138,1,(x24),1333001,198773307,2015/11/13,canadian pop,Pop
Migos ,Slippery,477,0,17,0,701264,197966789,2011/12/12,atl hip hop,Hip Hop
21 Savage ,a lot,412,24,2,(x1),1525801,197950103,2018/12/21,atl hip hop,Hip Hop
Flipp Dinero ,Leave Me Alone,418,12,10,0,997477,197450612,2019/11/22,melodic rap,Hip Hop
Dan + Shay ,Tequila,723,0,48,0,483056,196958667,1994/4/19,contemporary country,Country
Bryson Tiller ,Exchange,837,0,22,0,452260,196861471,2015/10/2,kentucky hip hop,Hip Hop
Twenty One Pilots ,Heathens,410,100,3,(x34),1168637,195918435,2016/6/16,modern rock,Rock
Doja Cat ,Streets,477,57,3,(x12),1024708,195884808,2019/11/7,dance pop,Pop
Wham! ,Last Christmas,315,56,4,0,3525042,195381527,1984/11/29,new romantic,Rock
Jack Harlow ,First Class,231,77,1,(x11),5962326,195314542,2022/5/6,deep underground hip hop,Hip Hop
Fetty Wap ,Trap Queen,622,159,1,(x31),844118,194792972,2015/9/25,new jersey rap,Hip Hop
The Weeknd ,Can't Feel My Face,543,142,1,(x52),1053578,194406860,2015/8/28,canadian contemporary r&b,R&B
Bruno Mars ,Leave The Door Open,400,52,2,(x3),1765144,193296752,2021/11/12,dance pop,Pop
Kodak Black ,Roll In Peace,518,0,21,0,985417,192647458,2017/8/18,florida drill,Hip Hop
The Neighbourhood ,Daddy Issues,705,0,50,0,359758,192551331,2015/10/30,modern alternative rock,Rock
Morgan Wallen ,More Than My Hometown,697,0,18,0,698510,191448082,2021/1/8,contemporary country,Country
Gucci Mane ,Wake Up in the Sky,340,14,6,0,1070430,189926403,2018/9/14,atl hip hop,Hip Hop
Marshmello ,Silence,468,16,7,0,958742,189144242,2017/8/11,brostep,Electronic
Michael Bublé ,It's Beginning to Look a Lot Like Christmas,357,38,3,(x1),2978474,187463596,2012/11/9,adult standards,Easy listening
Maroon 5 ,Girls Like You,383,20,6,0,1263800,186579571,2018/6/15,pop,Pop
Justin Bieber ,What Do You Mean?,413,153,1,(x24),1358577,185795808,2015/11/13,canadian pop,Pop
The Weeknd ,Call Out My Name,471,21,1,(x6),3490888,185191010,2018/3/30,canadian contemporary r&b,R&B
BØRNS ,Electric Love,737,0,39,0,460526,185017224,2015/10/16,indie poptimism,Pop
NF ,Let You Down,480,4,9,0,829153,184436690,2017/10/6,hip hop,Hip Hop
Fifth Harmony ,Work from Home,420,116,3,(x21),1004803,184122003,2016/5/27,girl group,Pop
Drake ,Controlla,400,93,4,0,1020036,183609837,2016/5/6,canadian hip hop,Hip Hop
Morgan Wallen ,Chasin' You,687,0,47,0,412670,183121183,2018/4/27,contemporary country,Country
Ariana Grande ,Santa Tell Me,348,26,5,0,2847060,182490361,2014/11/24,pop,Pop
Ed Sheeran ,Thinking out Loud,792,118,1,(x3),665278,182153495,2014/6/21,pop,Pop
Pop Smoke ,What You Know Bout Love,422,44,5,0,945575,182024316,2020/7/3,brooklyn drill,Hip Hop
Lil Mosey ,Noticed,531,0,17,0,836165,181647697,2018/10/19,melodic rap,Hip Hop
Mike Posner ,I Took A Pill In Ibiza  Seeb Remix,442,91,2,(x1),912432,181197216,2016/5/6,dance pop,Pop
Ed Sheeran ,Perfect,488,0,11,0,931316,180975541,2017/3/3,pop,Pop
Ariana Grande ,no tears left to cry,384,5,6,0,1783330,180563889,2018/8/17,pop,Pop
Chance the Rapper ,No Problem,568,0,13,0,695093,180053419,2022/6/24,chicago rap,Hip Hop
Mustard ,Pure Water,396,0,11,0,905428,180042907,2019/6/28,indie garage rock,Rock
Dan + Shay ,Speechless,662,0,67,0,373102,179301739,2019/5/22,contemporary country,Country
The Chainsmokers ,Roses,520,94,5,0,772979,178699372,2019/9/13,pop,Pop
Khalid ,Talk,341,42,5,0,1284719,178662883,2024/3/15,pop,Pop
G,Eazy  No Limit,373,79,2,(x8),1151926,178639729,2017/12/15,indie pop rap,Hip Hop
21 Savage ,X,555,0,14,0,597896,178576237,2022/2/11,atl hip hop,Hip Hop
Surf Curse ,Freaks,556,0,29,0,466842,178535641,2021/5/15,dreamo,Rock
Demi Lovato ,Sorry Not Sorry,379,35,6,0,1009557,177157747,2015/10/2,pop,Pop
Billie Eilish ,bury a friend,364,16,3,(x2),2139874,176834584,2019/3/29,art pop,Pop
Kodak Black ,Tunnel Vision,396,38,5,0,1173162,176688536,2017/3/31,florida drill,Hip Hop
Surfaces ,Sunday Best,412,0,13,0,751886,176430872,2019/1/6,bedroom soul,R&B
Sleepy Hallow ,2055,454,12,7,0,826350,176244822,2021/6/2,brooklyn drill,Hip Hop
Dan + Shay ,"10,000 Hours",465,21,2,(x3),2073482,175930281,2019/10/4,contemporary country,Country
Migos ,Stir Fry,336,60,2,(x12),1499177,175630677,2018/1/26,atl hip hop,Hip Hop
A Boogie Wit da Hoodie ,Look Back At It,366,22,8,0,1146596,175483878,2018/12/21,melodic rap,Hip Hop
Justin Bieber ,Intentions,328,42,2,(x1),1901883,175135180,2020/2/7,canadian pop,Pop
Post Malone ,Go Flex,673,0,19,0,687250,174710816,2016/12/9,dfw rap,Hip Hop
The Walters ,I Love You So,431,38,7,0,683985,174547021,2014/11/28,chicago indie,Rock
Ed Sheeran ,Bad Habits,350,49,7,0,1259918,174488164,2021/10/29,pop,Pop
A$AP Ferg ,Plain Jane,408,22,6,0,929255,174255086,2017/12/15,hip hop,Hip Hop
Famous Dex ,PICK IT UP,421,0,13,0,800864,173990426,2017/10/20,chicago rap,Hip Hop
Major Lazer ,Lean On,588,142,2,(x7),681007,173817845,2015/6/1,dance pop,Pop
Elton John ,Cold Heart  PNAU Remix,408,1,9,0,683288,173542648,2021/10/22,glam rock,Rock
Dua Lipa ,New Rules,399,0,11,0,783946,173328947,2017/6/2,dance pop,Pop
Ed Sheeran ,Shivers,399,6,6,0,980767,173225595,2021/10/29,pop,Pop
Mac Miller ,The Spins,612,0,54,0,369869,173209349,2010/8/13,hip hop,Hip Hop
Adele ,Easy On Me,246,73,1,(x29),5435431,173180228,2021/10/14,british soul,R&B
Ariana Grande ,positions,333,69,1,(x25),2805107,172797966,2020/10/30,pop,Pop
Tate McRae ,you broke me first,503,0,16,0,664700,172703722,2021/3/26,pop,Pop
Kodak Black ,Super Gremlin,346,117,2,(x9),1054999,171909115,2021/10/30,florida drill,Hip Hop
Lil Nas X ,Panini,249,67,1,(x2),2147076,171512571,2019/9/13,lgbtq+ hip hop,Hip Hop
Drake ,Way 2 Sexy,280,68,1,(x12),4962771,170202629,2021/9/3,canadian hip hop,Hip Hop
Roddy Ricch ,High Fashion,354,27,4,0,1118927,169149991,2019/12/6,melodic rap,Hip Hop
Ed Sheeran ,I Don't Care,323,54,1,(x7),3107778,168839409,2021/9/24,pop,Pop
Billie Eilish ,ocean eyes,623,0,61,0,410592,168543006,2017/12/22,art pop,Pop
"Tyler, The Creator ",See You Again,565,0,24,0,499844,168256802,2017/7/21,hip hop,Hip Hop
Migos ,Walk It Talk It,358,14,3,(x1),1584838,168214275,2018/1/26,atl hip hop,Hip Hop
Lady Gaga ,Shallow,403,7,6,0,1310071,167883840,2018/10/5,art pop,Pop
Drake ,Jimmy Cooks,195,107,1,(x1),3642078,166499191,2022/6/17,canadian hip hop,Hip Hop
Doja Cat ,Say So,308,51,2,(x1),1262821,165898476,2019/11/7,dance pop,Pop
Fetty Wap ,679,501,111,2,(x14),850028,165220739,2015/6/29,new jersey rap,Hip Hop
